text,id,label,gold_label,neg,pos,pos_probability,neg_probability,total_votes,highest_agreement,entropy_agreement,variance_agreement,jsd_agreement
"the soupy end result has the odd distinction of being playful without being fun , too . ",9422,neg,neg,4.0,2.0,0.3333333333333333,0.6666666666666666,6.0,0.6666666666666666,0.6365141682948128,0.05555555555555555,0.14394735018022464
"britney's performance cannot be faulted . lucy's a dull girl , that's all . ",7820,neg,neg,5.0,1.0,0.16666666666666666,0.8333333333333334,6.0,0.8333333333333334,0.45056120886630463,0.22222222222222227,0.30542531530688866
"human nature , in short , isn't nearly as funny as it thinks it is ; neither is it as smart . ",5785,neg,neg,4.0,1.0,0.2,0.8,5.0,0.8,0.5004024235381879,0.18000000000000002,0.2703775285259666
"a tone of rueful compassion . . . reverberates throughout this film , whose meaning and impact is sadly heightened by current world events . ",4368,neg,pos,2.0,4.0,0.6666666666666666,0.3333333333333333,6.0,0.6666666666666666,0.6365141682948128,0.05555555555555555,0.14394735018022464
"the cast is phenomenal , especially the women . ",4518,pos,pos,0.0,5.0,1.0,0.0,5.0,1.0,0.0,0.5,0.5579230452841438
"will assuredly rank as one of the cleverest , most deceptively amusing comedies of the year . ",4812,pos,pos,0.0,5.0,1.0,0.0,5.0,1.0,0.0,0.5,0.5579230452841438
"i wish i could say  thank god it's friday  , but the truth of the matter is i was glad when it was over . ",8038,neg,neg,5.0,0.0,0.0,1.0,5.0,1.0,0.0,0.5,0.5579230452841438
a crisp psychological drama [and] a fascinating little thriller that would have been perfect for an old  twilight zone  episode . ,1532,pos,pos,1.0,5.0,0.8333333333333334,0.16666666666666666,6.0,0.8333333333333334,0.45056120886630463,0.22222222222222227,0.30542531530688866
"though the film's scenario is certainly not earthshaking , this depiction of fluctuating female sexuality has two winning lead performances and charm to spare . ",737,pos,pos,0.0,6.0,1.0,0.0,6.0,1.0,0.0,0.5,0.5579230452841438
"all the pieces fall together without much surprise , but little moments give it a boost . ",4364,pos,pos,0.0,5.0,1.0,0.0,5.0,1.0,0.0,0.5,0.5579230452841438
below is well below expectations . ,5734,neg,neg,5.0,0.0,0.0,1.0,5.0,1.0,0.0,0.5,0.5579230452841438
"at once emotional and richly analytical , the cosby-seinfeld encounter alone confirms the serious weight behind this superficially loose , larky documentary . ",4400,neg,pos,4.0,2.0,0.3333333333333333,0.6666666666666666,6.0,0.6666666666666666,0.6365141682948128,0.05555555555555555,0.14394735018022464
a movie for 11-year-old boys with sports dreams of their own and the preteen girls who worship lil' bow wow . ,682,pos,pos,2.0,3.0,0.6,0.4,5.0,0.6,0.6730116670092565,0.01999999999999999,0.0854351026245885
"a fine , rousing , g-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats . ",3874,pos,pos,0.0,5.0,1.0,0.0,5.0,1.0,0.0,0.5,0.5579230452841438
more of a career curio than a major work . ,6034,neg,neg,5.0,1.0,0.16666666666666666,0.8333333333333334,6.0,0.8333333333333334,0.45056120886630463,0.22222222222222227,0.30542531530688866
"one of those energetic surprises , an original that pleases almost everyone who sees it . ",1476,pos,pos,0.0,5.0,1.0,0.0,5.0,1.0,0.0,0.5,0.5579230452841438
"a charming , banter-filled comedy . . . one of those airy cinematic bon bons whose aims -- and by extension , accomplishments -- seem deceptively slight on the surface . ",5056,pos,pos,0.0,5.0,1.0,0.0,5.0,1.0,0.0,0.5,0.5579230452841438
"stripped almost entirely of such tools as nudity , profanity and violence , labute does manage to make a few points about modern man and his problematic quest for human connection . ",5165,pos,pos,2.0,3.0,0.6,0.4,5.0,0.6,0.6730116670092565,0.01999999999999999,0.0854351026245885
"off the hook is overlong and not well-acted , but credit writer-producer-director adam watstein with finishing it at all . ",5338,neg,neg,5.0,1.0,0.16666666666666666,0.8333333333333334,6.0,0.8333333333333334,0.45056120886630463,0.22222222222222227,0.30542531530688866
"one of these days hollywood will come up with an original idea for a teen movie , but until then there's always these rehashes to feed to the younger generations . ",6023,pos,neg,4.0,2.0,0.3333333333333333,0.6666666666666666,6.0,0.6666666666666666,0.6365141682948128,0.05555555555555555,0.14394735018022464
trademark american triteness and simplicity are tossed out the window with the intelligent french drama that deftly explores the difficult relationship between a father and son . ,1409,neg,pos,1.0,4.0,0.8,0.2,5.0,0.8,0.5004024235381879,0.18000000000000002,0.2703775285259666
"pipe dream does have its charms . the leads are natural and lovely , the pace is serene , the humor wry and sprightly . ",3601,pos,pos,2.0,4.0,0.6666666666666666,0.3333333333333333,6.0,0.6666666666666666,0.6365141682948128,0.05555555555555555,0.14394735018022464
"the movie , like bartleby , is something of a stiff -- an extra-dry office comedy that seems twice as long as its 83 minutes . ",5352,neg,neg,5.0,0.0,0.0,1.0,5.0,1.0,0.0,0.5,0.5579230452841438
"there are simply too many ideas floating around -- part farce , part sliding doors , part pop video -- and yet failing to exploit them . ",6777,neg,neg,5.0,0.0,0.0,1.0,5.0,1.0,0.0,0.5,0.5579230452841438
blue crush is so prolonged and boring it isn't even close to being the barn-burningly bad movie it promised it would be . ,5769,neg,neg,5.0,1.0,0.16666666666666666,0.8333333333333334,6.0,0.8333333333333334,0.45056120886630463,0.22222222222222227,0.30542531530688866
"perfectly enjoyable , instantly forgettable , nothing to write home about . ",7454,pos,neg,2.0,3.0,0.6,0.4,5.0,0.6,0.6730116670092565,0.01999999999999999,0.0854351026245885
exactly what you'd expect from a guy named kaos . ,5383,neg,neg,3.0,2.0,0.4,0.6,5.0,0.6,0.6730116670092565,0.01999999999999999,0.0854351026245885
it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing . ,1533,pos,pos,1.0,4.0,0.8,0.2,5.0,0.8,0.5004024235381879,0.18000000000000002,0.2703775285259666
"cuba gooding jr . valiantly mugs his way through snow dogs , but even his boisterous energy fails to spark this leaden comedy . ",5484,neg,neg,3.0,2.0,0.4,0.6,5.0,0.6,0.6730116670092565,0.01999999999999999,0.0854351026245885
"sweetly sexy , funny and touching . ",3378,pos,pos,1.0,5.0,0.8333333333333334,0.16666666666666666,6.0,0.8333333333333334,0.45056120886630463,0.22222222222222227,0.30542531530688866
"a smart and funny , albeit sometimes superficial , cautionary tale of a technology in search of an artist . ",4933,pos,pos,0.0,6.0,1.0,0.0,6.0,1.0,0.0,0.5,0.5579230452841438
the whole thing plays like a tired tyco ad . ,9420,neg,neg,3.0,2.0,0.4,0.6,5.0,0.6,0.6730116670092565,0.01999999999999999,0.0854351026245885
